category,name,link,price,updated_date
mixers,Giffard Hazelnut Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-hazelnut-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.059210
mixers,Giffard Kiwi Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-kiwi-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.066223
mixers,Giffard Matcha Green Tea Syrup 700ML,https://www.cheers.com.np//liquor/product/giffard-matcha-green-tea-syrup-700ml,"Rs. 1,950",2024-05-11 11:04:48.072565
mixers,Giffard Mint Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-mint-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.072565
mixers,Giffard Mojito Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-mojito-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.077095
mixers,Giffard Passion Fruit Puree 1L,https://www.cheers.com.np//liquor/product/giffard-passion-fruit-puree-1l,"Rs. 2,650",2024-05-11 11:04:48.077095
mixers,Giffard Passion Fruit Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-passion-fruit-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.077095
mixers,Giffard Peach Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-peach-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.082112
mixers,Giffard Strawberry Fruit Puree 1L,https://www.cheers.com.np//liquor/product/giffard-strawberry-fruit-puree-1l,"Rs. 2,650",2024-05-11 11:04:48.082112
mixers,Giffard Strawberry Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-strawberry-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.082112
mixers,Giffard Vanilla Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-vanilla-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.092135
mixers,Giffard White Chocolate Sauce 2L,https://www.cheers.com.np//liquor/product/giffard-white-chocolate-sauce-2l,"Rs. 3,500",2024-05-11 11:04:48.093662
mixers,Marie Brizard Almond Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-almond-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.093662
mixers,Marie Brizard Blackberry Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-blackberry-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.098902
mixers,Marie Brizard Blackcurrant Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-blackcurrant-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.098902
mixers,Marie Brizard Blue Curacao Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-blue-curacao-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.098902
mixers,Marie Brizard Cocoa Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-cocoa-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.129363
mixers,Marie Brizard Coconut Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-coconut-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.130442
mixers,Marie Brizard Green Apple Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-green-apple-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.134967
mixers,Marie Brizard Green Mint Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-green-mint-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.147459
mixers,Marie Brizard Grenadine Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-grenadine-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.154705
mixers,Marie Brizard Hazelnut Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-hazelnut-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.158833
mixers,Marie Brizard Passion Fruit Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-passion-fruit-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.166148
mixers,Marie Brizard Peach Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-peach-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.176487
mixers,Marie Brizard Raspberry Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-raspberry-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.189128
mixers,Marie Brizard Strawberry Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-strawberry-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.193289
mixers,Marie Brizard Vanilla Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-vanilla-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.197180
mixers,Monin Agave Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-agave-syrup-700ml,"Rs. 2,100",2024-05-11 11:04:48.200810
mixers,Monin Almond Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-almond-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.205325
mixers,Monin Bitter Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-bitter-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.212040
mixers,Monin Blue Lagoon Syrup 1L,https://www.cheers.com.np//liquor/product/monin-blue-lagoon-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.214763
mixers,Monin Blueberry Fruit Puree 1L,https://www.cheers.com.np//liquor/product/monin-blueberry-fruit-puree-1l,"Rs. 2,750",2024-05-11 11:04:48.220277
mixers,Monin Blueberry Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-blueberry-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:48.223291
